,시도,시군구,계약종별,년도,월,전력 사용량
163,서울특별시,강북구,산업용,2022,1월,4920978.0
164,서울특별시,강북구,농사용,2022,1월,10735.0
165,서울특별시,강북구,가로등,2022,1월,552518.0
166,서울특별시,강북구,심 야,2022,1월,791601.0
167,서울특별시,금천구,주택용,2022,1월,31386334.0
168,서울특별시,금천구,일반용,2022,1월,103073049.0
169,서울특별시,금천구,교육용,2022,1월,2447154.0
170,서울특별시,금천구,산업용,2022,1월,22392978.0
171,서울특별시,금천구,농사용,2022,1월,18935.0
172,서울특별시,금천구,가로등,2022,1월,690960.0
173,서울특별시,금천구,심 야,2022,1월,271687.0
174,부산광역시,중구,주택용,2022,1월,5820727.0
175,부산광역시,중구,일반용,2022,1월,25083141.0
176,부산광역시,중구,교육용,2022,1월,321147.0
177,부산광역시,중구,산업용,2022,1월,689455.0
178,부산광역시,중구,농사용,2022,1월,7119.0
179,부산광역시,중구,가로등,2022,1월,420367.0
180,부산광역시,중구,심 야,2022,1월,671615.0
181,부산광역시,서구,주택용,2022,1월,14938061.0
182,부산광역시,서구,일반용,2022,1월,21689041.0
183,부산광역시,서구,교육용,2022,1월,1632683.0
184,부산광역시,서구,산업용,2022,1월,14084388.0
185,부산광역시,서구,농사용,2022,1월,178074.0
186,부산광역시,서구,가로등,2022,1월,532555.0
187,부산광역시,서구,심 야,2022,1월,1683289.0
188,부산광역시,동구,주택용,2022,1월,12315397.0
189,부산광역시,동구,일반용,2022,1월,27218448.0
190,부산광역시,동구,교육용,2022,1월,688892.0
191,부산광역시,동구,산업용,2022,1월,7392231.0
192,부산광역시,동구,농사용,2022,1월,3331.0
193,부산광역시,동구,가로등,2022,1월,481607.0
194,부산광역시,동구,심 야,2022,1월,1655884.0
195,부산광역시,영도구,주택용,2022,1월,14706354.0
196,부산광역시,영도구,일반용,2022,1월,14972904.0
197,부산광역시,영도구,교육용,2022,1월,3104612.0
198,부산광역시,영도구,산업용,2022,1월,9181273.0
199,부산광역시,영도구,농사용,2022,1월,4095.0
200,부산광역시,영도구,가로등,2022,1월,498399.0
201,부산광역시,영도구,심 야,2022,1월,1334072.0
202,부산광역시,부산진구,주택용,2022,1월,50638933.0
203,부산광역시,부산진구,일반용,2022,1월,74138523.0
204,부산광역시,부산진구,교육용,2022,1월,5451635.0
205,부산광역시,부산진구,산업용,2022,1월,22650036.0
206,부산광역시,부산진구,농사용,2022,1월,70837.0
207,부산광역시,부산진구,가로등,2022,1월,1361135.0
208,부산광역시,부산진구,심 야,2022,1월,2941202.0
209,부산광역시,동래구,주택용,2022,1월,36176027.0
210,부산광역시,동래구,일반용,2022,1월,39390628.0
211,부산광역시,동래구,교육용,2022,1월,1689227.0
212,부산광역시,동래구,산업용,2022,1월,8150016.0
213,부산광역시,동래구,농사용,2022,1월,26078.0
214,부산광역시,동래구,가로등,2022,1월,751094.0
215,부산광역시,동래구,심 야,2022,1월,2348831.0
216,부산광역시,남구,주택용,2022,1월,36241221.0
217,부산광역시,남구,일반용,2022,1월,37611300.0
218,부산광역시,남구,교육용,2022,1월,6826913.0
219,부산광역시,남구,산업용,2022,1월,44385225.0
220,부산광역시,남구,농사용,2022,1월,96460.0
221,부산광역시,남구,가로등,2022,1월,941568.0
222,부산광역시,남구,심 야,2022,1월,1284029.0
223,부산광역시,북구,주택용,2022,1월,36672457.0
224,부산광역시,북구,일반용,2022,1월,31839236.0
225,부산광역시,북구,교육용,2022,1월,2345485.0
226,부산광역시,북구,산업용,2022,1월,9387020.0
227,부산광역시,북구,농사용,2022,1월,46866.0
228,부산광역시,북구,가로등,2022,1월,882360.0
229,부산광역시,북구,심 야,2022,1월,1577150.0
230,부산광역시,해운대구,주택용,2022,1월,58414099.0
231,부산광역시,해운대구,일반용,2022,1월,80282629.0
232,부산광역시,해운대구,교육용,2022,1월,3119452.0
